,DE0006202005,DE0005785802,DE000KSAG888,DE000STRA555,DE0006062144,DE000TUAG505,DE000A12DM80,DE000EVNK013,DE000LEG1110,DE0005089031,DE0006095003,DE000A161408,DE0005470405,DE000A0DJ6J9,DE000A1TNUT7,DE0006200108,DE0005232805,DE000A0WMPJ6,DE000WCH8881,DE0007165607,DE0005313704,DE0007030009,DE000A3ENQ51,DE0006766504,DE0007314007,DE000BASF111,DE000A1PHFF7,FR001400PVN6,DE0007461006,DE0005773303,DE0005158703,DE000A1TNV91,DE0006602006,DE0008232125,DE0006969603,DE0005093108,Total
2025-03-06,0.46,0.0,0.57,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.79,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.68,0.0,0.0,0.45,0.08,0.0,0.49,0.54,0.49,0.0,7.320000000000001
2025-03-05,0.46,0.0,0.57,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.79,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.68,0.0,0.0,0.45,0.08,0.0,0.49,0.62,0.49,0.0,7.400000000000001
2025-03-04,0.46,0.0,0.62,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.89,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.7,0.0,0.0,0.45,0.08,0.0,0.49,0.62,0.49,0.0,7.570000000000001
2025-03-03,0.46,0.0,0.78,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.9,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.64,0.0,0.0,0.45,0.08,0.0,0.49,0.56,0.49,0.0,7.620000000000001
2025-03-02,0.46,0.0,0.78,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.9,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.59,0.0,0.0,0.45,0.08,0.0,0.49,0.48,0.49,0.0,7.49
2025-03-01,0.46,0.0,0.78,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.9,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.59,0.0,0.0,0.45,0.08,0.0,0.49,0.48,0.49,0.0,7.49
2025-02-28,0.46,0.0,0.78,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.9,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.59,0.0,0.0,0.45,0.08,0.0,0.49,0.48,0.49,0.0,7.49
2025-02-27,0.46,0.0,0.86,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.88,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.71,0.0,0.49,0.0,0.0,0.0,0.59,0.0,0.0,0.45,1.33,0.0,0.49,0.51,0.49,0.71,10.25
2025-02-26,0.46,0.0,0.99,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.88,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.62,0.0,0.49,0.0,0.0,0.0,0.59,0.0,0.0,0.45,1.21,0.0,0.49,0.51,0.49,0.6,10.059999999999999
2025-02-25,0.46,0.0,0.99,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.97,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.62,0.0,0.49,0.0,0.0,0.0,0.68,0.0,0.0,0.45,1.0,0.0,0.49,0.38,0.49,0.53,9.83
