,IT0005495657,FR0010220475,FR0000121147,FR0000130395,DE000FTG1111,DE000A161408,DE000A2YN900,DE000A0D6554,DE000A0LD6E6,DE000ZAL1111,DE000TUAG505,DE0008303504,DE0005664809,DE0007500001,DE000A1PHFF7,DE0005470405,DE0005313704,DE000A0WMPJ6,Total
2025-01-31,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.0,0.0,0.0,4.89
2025-01-30,0.0,0.0,0.89,0.49,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.0,0.0,0.0,5.38
2025-01-29,0.0,0.0,0.89,0.49,0.0,0.98,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.0,0.0,0.0,5.359999999999999
2025-01-28,0.0,0.0,0.89,0.49,0.0,1.03,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.0,0.0,0.0,5.41
2025-01-27,0.0,0.0,0.89,0.59,0.0,1.03,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.0,0.0,0.0,5.51
2025-01-26,0.0,0.0,0.89,0.59,0.0,1.03,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-25,0.0,0.0,0.89,0.59,0.0,1.03,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-24,0.0,0.0,0.89,0.59,0.0,1.03,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-23,0.0,0.0,0.92,0.59,0.0,1.03,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.52
2025-01-22,0.0,0.0,0.92,0.59,0.0,0.99,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.48
2025-01-21,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-20,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-19,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-18,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-17,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-16,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.77,0.0,0.0,0.0,5.49
2025-01-15,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.9,0.0,0.82,0.0,0.0,0.0,5.54
2025-01-14,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.83,0.0,0.82,0.0,0.0,0.0,5.47
2025-01-13,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.83,0.0,0.82,0.0,0.0,0.0,5.47
2025-01-12,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.72,0.0,0.82,0.0,0.0,0.0,5.36
2025-01-11,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.72,0.0,0.82,0.0,0.0,0.0,5.36
2025-01-10,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.72,0.0,0.82,0.0,0.0,0.0,5.36
2025-01-09,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.72,0.0,0.82,0.0,0.0,0.0,5.36
2025-01-08,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.72,0.0,0.82,0.0,0.0,0.0,5.36
2025-01-07,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.72,0.0,0.82,0.0,0.0,0.0,5.36
2025-01-06,0.0,0.0,0.92,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.72,0.0,0.82,0.0,0.0,0.0,5.36
2025-01-05,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.64,0.0,0.82,0.0,0.0,0.0,5.16
2025-01-04,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.64,0.0,0.82,0.0,0.0,0.0,5.16
2025-01-03,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.64,0.0,0.82,0.0,0.0,0.0,5.16
2025-01-02,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.64,0.0,0.79,0.0,0.0,0.0,5.13
2025-01-01,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
