,DE000WAF3001,DE000A0Z23Q5,DE0005102008,DE000A0HHJR3,DE000A35JS40,DE000A1H8BV3,DE0005419105,DE000A0DJ6J9,DE000A0D6554,DE000NCA0001,DE000A1MMCC8,DE0005493365,DE0005800601,DE0005158703,FR001400T0D6,DE0005677108,DE0005089031,DE000A0WMPJ6,DE000KSAG888,DE0005470405,Total
2025-01-28,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-27,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-26,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-25,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-24,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-23,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-22,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-21,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-20,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-19,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-18,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-17,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-16,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-15,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-14,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-13,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-12,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
