,<05,<1,<2,<5,>=5,GB,Market_capitalization,US,Total
2024-03-17,1,1,0,0,0,0.12,18400000000.0,0.14,0.26
2024-03-16,1,1,0,0,0,0.12,18400000000.0,0.14,0.26
2024-03-15,1,1,0,0,0,0.12,18400000000.0,0.14,0.26
2024-03-14,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-13,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-12,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-11,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-10,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-09,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-08,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-07,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-06,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-05,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-04,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-03,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-02,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-03-01,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-29,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-28,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-27,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-26,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-25,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-24,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-23,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-22,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-21,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-20,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-19,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-18,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-17,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-16,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-15,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-14,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-13,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-12,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-11,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-10,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-09,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-08,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-07,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-06,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-05,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-04,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-03,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-02,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-02-01,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-31,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-30,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-29,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-28,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-27,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-26,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-25,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-24,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-23,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-22,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-21,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-20,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-19,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-18,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-17,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-16,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-15,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-14,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-13,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-12,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-11,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-10,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-09,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-08,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-07,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-06,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-05,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-04,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-03,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-02,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2024-01-01,2,0,0,0,0,0.12,18400000000.0,0.0,0.12
2023-12-31,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-30,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-29,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-28,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-27,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-26,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-25,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-24,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-23,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-22,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-21,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-20,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-19,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-18,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-17,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-16,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-15,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-14,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-13,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-12,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-11,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-10,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-09,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-08,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-07,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-06,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-05,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-04,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-03,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-02,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-12-01,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-11-30,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-11-29,2,0,0,0,0,0.12,18590000000.0,0.0,0.12
2023-11-28,1,1,0,0,0,0.16,18590000000.0,0.0,0.16
2023-11-27,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-26,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-25,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-24,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-23,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-22,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-21,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-20,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-19,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-18,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-17,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-16,1,1,0,0,0,0.17,18590000000.0,0.0,0.17
2023-11-15,1,1,0,0,0,0.15,18590000000.0,0.0,0.15
2023-11-14,1,1,0,0,0,0.15,18590000000.0,0.0,0.15
2023-11-13,1,1,0,0,0,0.16,18590000000.0,0.0,0.16
2023-11-12,1,1,0,0,0,0.16,18590000000.0,0.0,0.16
2023-11-11,1,1,0,0,0,0.16,18590000000.0,0.0,0.16
2023-11-10,1,1,0,0,0,0.16,18590000000.0,0.0,0.16
2023-11-09,1,1,0,0,0,0.15,18590000000.0,0.0,0.15
2023-11-08,1,1,0,0,0,0.15,18590000000.0,0.0,0.15
2023-11-07,1,1,0,0,0,0.15,18590000000.0,0.0,0.15
2023-11-06,1,1,0,0,0,0.15,18590000000.0,0.0,0.15
2023-11-05,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-11-04,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-11-03,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-11-02,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-11-01,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-31,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-30,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-29,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-28,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-27,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-26,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-25,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-24,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-23,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-22,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-21,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-20,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-19,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-18,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-17,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
