,<05,<1,<2,<5,>=5,FR,GB,IE,Market_capitalization,US,Total
2024-07-07,0,1,0,1,0,0.1,0.91,0.07,3410020000.0,0.0,1.08
2024-07-06,0,1,0,1,0,0.1,0.91,0.07,3410020000.0,0.0,1.08
2024-07-05,0,1,0,1,0,0.1,0.91,0.07,3410020000.0,0.0,1.08
2024-07-04,0,1,0,1,0,0.1,0.91,0.07,3410020000.0,0.0,1.08
2024-07-03,0,1,0,1,0,0.1,0.9,0.07,3410020000.0,0.0,1.07
2024-07-02,0,1,0,1,0,0.1,0.9,0.0,3410020000.0,0.0,1.0
2024-07-01,0,1,0,1,0,0.1,0.89,0.0,3410020000.0,0.0,0.99
2024-06-30,0,1,0,1,0,0.12,0.89,0.0,2900020000.0,0.0,1.01
2024-06-29,0,1,0,1,0,0.12,0.89,0.0,2900020000.0,0.0,1.01
2024-06-28,0,1,0,1,0,0.12,0.89,0.0,2900020000.0,0.0,1.01
